Id; WordId; Source; Translation
20; 42; Novo Nordisk Pharma Ltd Broadfield Park Brighton Road UK - RH11 9RT Crawley West Sussex Wielka Brytania; Novo Nordisk Pharma Ltd Broadfield Park Brighton Road UK- RH11 9RT Crawley West Sussex United Kingdom
21; 43; Suomi/ Finland OY BRISTOL- MYERS SQUIBB (FINLAND) AB Puh/ Tel: + 358 9 251 21 230; Suomi/ Finland OY BRISTOL-MYERS SQUIBB (FINLAND) AB Puh/ Tel: + 358 9 251 21 230
22; 44; A teraz spójrzmy na komputerowo wygenerowaną wersję Bruce`a, biegnącego w nowym środowisku.; And let's take a look at a computer-generated version of Bruce, running in a new environment.
23; 45; Singapurze, Malezji, Brunei, Filipinach, Wietnamie, Tajlandii, Indonezji, Sri Lance,; Singapore, Malaysia, Brunei, Philippines, Vietnam, Thailand, Indonesia,
24; 47; Uważam jednak, że taki wybór powinni mieć również moi współobywatele, Brytyjczycy.; However, I believe that that choice should also be given to my people, the British people.
25; 48; Jedna jest Brytyjką, kolejna Amerykanką, a ostatnia Kanadyjką.; One is a British, another is an American and the third is a Canadian.
26; 49; Brytyjskie Wyspy Dziewicze; British Virgin Islands
27; 50; Egis Pharmaceuticals Public Limited Company Kereszturi ut 30- 38 H- 1106 Budapeszt Węgry; Egis Pharmaceuticals Public Limited Company Kereszturi ut 30-38 H-1106 Budapest Hungary
28; 51; Pierwsze spotkanie z Mercosurem odbyło się w ubiegłym tygodniu w Buenos Aires.; The first meeting with Mercosur took place last week in Buenos Aires.
29; 52; Jest to bezspornie technologia wysokiego ryzyka, narażająca ludność na niebezpieczeństwo.; This is indisputably a high-risk technology which puts the population in danger.
30; 53; Zwalczanie terroryzmu jest bezsprzecznie wspólnym, oczywistym celem nas wszystkich.; Combating terrorism is unquestionably the common, self-evident aim of us all.
31; 55; Zadanie to wykonują publicznie i bezstronnie.; They must do so publicly and impartially.
32; 56; System sądowniczy w państwie prawa powinien być niezależny, ale też bezstronny.; A judicial system in a state under the rule of law should be independent but also impartial.
33; 57; I wszystko to stało się niemal bezszelestnie, spontanicznie, naturalnie.; And this has spread just frictionlessly, organically, naturally.
34; 59; Eesti Pank będzie wymieniać banknoty i monety korony estońskiej na euro bezterminowo i bez limitu kwoty.; Eesti Pank will exchange kroon banknotes and coins for euro in unlimited amounts and for an unlimited time.
35; 62; beztłuszczowa masa mięśniowa; lean muscle mass
36; 65; Przyzwoity, skuteczny, żadnego haju, całkowicie bezpieczny, bezwartościowy na czarnym rynku.; It was clean, efficient, there was no high, there was really no danger, it had no street value.
37; 66; To jeden ze sposobów walki z kryzysem gospodarczym, który możemy poprzeć bezwarunkowo.; This is one measure for combating the economic crisis which we can support unconditionally.
38; 67; Pojęcie rodziny zasługuje na nasz bezwarunkowy szacunek i ochronę.; The institution of the family merits unconditional respect and protection.
39; 71; W dziedzinie sportu biała księga pozostaje jedynym i najważniejszym punktem odniesienia.; In the area of sport, the White Paper remains the single most important reference point.
40; 72; Szybkoręki białas.; Fast hands for a white boy.
41; 73; CHAMPIX 0, 5 mg tabletki powlekane to białe tabletki o kształcie przypominającym; What CHAMPIX 0.5 mg and 1 mg film-coated tablets look like and contents of the pack
42; 74; Na dalekiej północy, przez ponad dziesięć tygodni lata trwają białe noce, podczas których słońce nie zachodzi.; In the far north, the White Nights, during which the sun does not set, last for around 10 weeks of the summer.
43; 75; Dokumentacja złożona w Holandii miała wyłącznie charakter bibliograficzny.; The dossier submitted to the Netherlands was only bibliographic.
44; 77; To był kiedyś mały market spożywczy sieci Food Lion, a teraz to jest biblioteka.; This was a little grocery store, a Food Lion grocery store, that is now a public library.
45; 78; Jeśli biblioteka jest wirtualna, dostęp do niej jest powszechny, gdyż nie istnieją fizycznie żadne drzwi, które zagradzają użytkownikom dostęp do informacji.; If a library is virtual its access is universal, because there is no physical door isolating information from its users.
46; 86; Więc unieście ręce jeszcze raz i napnijcie bicepsy.; So put your arms back up and flex your bicep.
47; 88; Właśnie o tym mówiłem przed chwilą, dziękując panu przewodniczącemu Daulowi, panu przewodniczącemu Schulzowi a także panu, kolego Brzezina, za zwrócenie uwagi.; Ladies and gentlemen, I was talking about this a moment ago, when I thanked Mr Daul and Mr Schulz. Thank you, too, Mr Březina, for drawing attention to this.
48; 89; Jeszcze jedna uwaga dotycząca finansowania: moim zdaniem, modulacja nie brzmi dobrze.; One more comment on financing: in my opinion, modulation is not a nice word.
49; 92; (RO) Nazwa Roşia Montană musi brzmieć coraz bardziej znajomo zarówno dla instytucji europejskich, jak i obywateli.; (RO) The name Roşia Montană must have an increasingly familiar ring for both European institutions and citizens.
50; 98; To podejście jest popierane także przez europejską organizację konsumencką BUC.; This approach is also supported by the European consumer organisation BUC.
51; 104; Miałem prowadzić debatę z Davidem Brinem, kiedy się pojawiłem, setka ludzi zaczęła mocno buczeć.; David Brin was going to debate me on this, and as I walked in, the crowd of a hundred started booing lustily.
52; 105; Ubikacje to dosłownie dziury w ziemi przykryte drewnianą budą.; The toilets there are literally holes in the ground covered with a wooden shack.
53; 108; I została córka Syońska jako chłodnik na winnicy, jako budka w ogrodzie ogórczanym, i jako miasto zburzone.; And the daughter of Zion is left as a booth in a vineyard, as a lodge in a garden of cucumbers, as a besieged city.
54; 110; Nie wiem ilu z was słyszało o RoboCup.; I don't know how many of you have heard about RoboCup.
55; 115; Centralny Urząd Planowania; Central Planning Office
56; 116; Centrum Nauki Kopernik; Copernicus Science Centre
57; 118; JABRA STONE2 - CES Innovation Award – Najlepsza innowacja, USA - Mobil Topkarakter, Dania; Jabra_STONE2 - CES Innovation Award - Best of Innovations, US - Mobil Topkarakter, Denmark
58; 119; Święte Cesarstwo Rzymskie Narodu Niemieckiego; Holy Roman Empire
59; 123; Od ponad dwudziestu lat wiemy, że ludność Południowego Sudanu nie chce prawa szariatu narzucanego przez Chartum.; on behalf of the ALDE Group. - (FR) Mr President, for over twenty years we have known that the population of Southern Sudan does not want Sharia law imposed by Khartoum.
60; 125; AstraZeneca UK Limited Alderley Park Macclesfield Cheshire SK10 4TG Wielka Brytania; AstraZeneca UK Limited Alderley Park Macclesfield Cheshire SK10 4TG United Kingdom
61; 126; Ostatnie wypadki w Chile i Nowej Zelandii nie pozwalają nam o tym zapomnieć.; The recent accidents in Chile and New Zealand will not allow us to forget this.
62; 127; Dlatego w tym roku (2009) Chiny staną się największym krajem angielskojęzycznym.; That's why this year China will become the world's largest English-speaking country.
63; 128; Chińska Republika Ludowa utrzymuje, że nie prowadzi ekspansji terytorialnej.; The People's Republic claims that it does not seek territorial expansion.
64; 129; Przywołajcie tę osobę w pamięci i w tym samym czasie śledźcie linię, drogę od B do E, a usłyszycie wszystko co Chopin miał do powiedzenia.; Bring that person into your mind, and at the same time follow the line all the way from B to E, and you'll hear everything that Chopin had to say.
65; 133; Dlatego właśnie UE i Czarnogóra podpisały układ o stabilizacji i stowarzyszeniu.; The EU and Montenegro therefore signed a Stabilisation and Association Agreement.
66; 134; Trzy czwarte obywateli Czech pragnie przeprowadzenia referendum w tej sprawie.; Three quarters of the citizens of the Czech Republic want a referendum on the subject.
67; 135; Novartis s. r. o Praha Nagano III U Nākladového Nādraží 10 130 00 Praha 3 Czechy; Novartis s. r. o Praha Nagano III U Nā kladového Nā draž í 10 130 00 Praha 3 Czech Republic
68; 136; Czego oczy nie widzą, tego sercu nie żal.; What the eye does not see, the heart does not grieve over.
69; 140; Czy mogę przyjąć zamówienie?; Can I take your order, please?
70; 141; Czy mówisz po polsku?; Do you speak Polish?
71; 142; Powstaje na skutek stopniowego rozkładu chrząstki wyściełającej zakończenia kości.; It results from the gradual breakdown of cartilage that cushions the ends of the bones.
72; 145; Czy chusta lub szal okrywający głowę są symbolem poddaństwa, posłuszeństwa czy oporu?; Is the hijab or the headscarf a symbol of submission or resistance?
73; 152; Który chodząc w pośrodku lwów stał się lwem, a nauczywszy się chwytać łupu pożerał i ludzi.; And he went up and down among the lions; he became a young lion, and he learned to catch the prey; he devoured men.
74; 153; chwytać kogoś za serce; to touch sb’s heartstrings
75; 154; Który chodząc w pośrodku lwów stał się lwem, a nauczywszy się chwytać łupu pożerał i ludzi.; And he went up and down among the lions; he became a young lion, and he learned to catch the prey; he devoured men.
76; 170; Podtrzymują one przekonanie, że cyberprzestrzeń nie jest obszarem bezprawia, ale podlega zasadom praworządności.; These uphold the belief that cyberspace is not a lawless area, but is subject to the rule of law.
77; 172; Kamerun, północny Kamerun, cykliczne fale głodu każdego roku od dziesięcioleci.; Cameroon, northern Cameroon, boom and bust cycles of hunger every year for decades.
78; 175; Zamorscy kupcy twoi dla wielkości wszelakich dostatków, srebrem, żelazem, cyną i ołowiem kupczyli na jarmarkach twoich.; Tarshish was thy merchant by reason of the multitude of all kinds of riches; with silver, iron, tin, and lead, they traded for thy wares.
79; 177; imbir/cynamon/kolendra; ginger/cinnamon/coriander
80; 180; Uważam, że procedura wzmocnionej współpracy została wykorzystana w cyniczny sposób.; I think the enhanced cooperation procedure has been used cynically.
81; 181; Cynizm polityczny brytyjskich liberalnych demokratów aż zapiera dech.; The political cynicism of the British Liberal Democrats is truly breathtaking.
82; 188; Narąbie sobie cedrów, i bierze cyprys i dąb, albo to, co jest najmocniejszego między drzewem leśnem, albo wsadzi jawór, który za deszczem odrasta;; He heweth him down cedars, and taketh the holm-tree and the oak, and strengtheneth for himself one among the trees of the forest: he planteth a fir-tree, and the rain doth nourish it.
83; 192; chudy jak patyk; as slim as a rake
84; 194; idź pan w chuj; get the fuck out of here
85; 198; Pomoże to w walce ze skutkami ubocznymi sportu zawodowego, takimi jak rasizm, doping i chuligaństwo.; This will help in the fight against the side-effects of professional sport, such as racism, doping and hooliganism.
86; 200; Proszek z przełamanej tabletki należy zetrzeć wilgotną chusteczką jednorazowego użytku, którą następnie należy wyrzucić.; Powder spilled from the broken tablet should be wiped up with a damp disposable towel which is thrown out.
87; 203; " Wystrzeliłem: "Chyba zwariowałeś.; I said, "Listen, it's insane.
88; 204; Nie wolno stosować leku CellCept w czasie ciąży, chyba że wyraźnie zaleci to lekarz.; You must not use CellCept during pregnancy unless clearly indicated by your doctor.
89; 211; cyfrowe wywołanie selektywne; Digital Selective Calling
90; 214; Należy również zauważyć, że te cyfry opowiadają tylko część całej historii.; What is also important is to note that these figures only tell part of the story.
91; 215; Gdyby pewien Cygan z Fehérvár mnie nie powstrzymał, to sięgnęłabym do pieca i wzięła kawałek.; If a Gipsy man from Fehérvár had not stopped me, I would have reached into the oven and taken out a piece.
92; 219; Aktywność insektów wskazuje, że umarła mniej więcej w tym samym czasie co DJ Mount.; Insect activity confirms she died around the same time DJ Mount did.
93; 229; DVD, jak wiecie, pojawiło się w połowie lat 90-tych i było dosyć drogie.; The DVD, as you know, was introduced in the mid-1990s and it was quite expensive.
94; 232; Prawie 100 osób straciło życie na Dominikanie, Haiti, Jamajce, Kajmanach oraz na Kubie, a tysiące innych straciło dach nad głową.; Nearly 100 people lost their lives in the Dominican Republic, Haiti, Jamaica, the Cayman Islands and Cuba, and thousands of others are now homeless.
95; 233; Doradztwo i pomoc sądowa dla dzieci i rodzin; Children and Family Court Advisory and Support Service
96; 235; - pytała Mary Douglas w eseju na temat ubóstwa napisanym 35 lat temu.; "What is the objective of the consumer?" Mary Douglas asked in an essay on poverty written 35 years ago.
97; 237; Oznacza to, że około 90 tysięcy osób straciło dach nad głową i zostało wysiedlonych.; This means that about 90 000 people became homeless and were displaced.
98; 242; Ma nowe dachówki. ~~~ A tu Rocinha i jest jeszcze lepiej.; And then you get Rocinha and you can see that it's getting even better.
99; 244; "Dobrze, a teraz, po przemówieniu na temat Przymierza Cywilizacji musimy wrócić na ziemię”.; 'Well, and now, following the Alliance of Civilisations, we must return to earth'.
100; 245; Było to dobrze ponad rok temu, dokładnie osiemnaście miesięcy temu.; This is well over a year, 18 months ago.
101; 246; A jeżeli firma Google nadal będzie dobrze prosperować, będzie to dowód, że nie ma konfliktu między zarabianiem pieniędzy a działaniem w wyważony i ludzki sposób.; And, if Google continues to prosper, it will prove that there is no inherent conflict between making money and acting in a sustainable and humane way.
102; 247; Z tego powodu każdy dokument, który przyjmujemy musi być dobrze przemyślany i wyważony.; For that reason, every document we adopt must be well thought out and well balanced.
103; 249; . ~~~ Nie zapomnijcie dobrze się bawić.; Which leads to the last topic: Do not forget to have fun.
104; 251; Ale żeby dobrze się spisać, mieć znaczący żywot potrzeba tych głębszych rzeczy, rzeczy na które nie mamy nawet słów.; What it really takes to do well, to lead a meaningful life, are things that are deeper, things we don't really even have words for.
105; 252; Więc nawet tu, Komisjo, musisz dobrze się zastanowić.; So even there, Commission, you must look before you leap.
106; 253; dobrze sobie radzić z; to have a way with
107; 254; Dobrze jest słyszeć o potrzebie różnorodności i wielojęzyczności, ale chciałabym pokrótce naświetlić sytuację w mojej części Wielkiej Brytanii.; Mr President, it is good to hear of the need for diversity and multilingualism, but I want to highlight very briefly a situation in my own part of the United Kingdom.
108; 256; To oczywiste, że nie będziemy w stanie dochować naszych obietnic, jeżeli nasza polityka nie będzie spójna.; It is obvious that we will not be able to keep our promises unless our policies are coherent.
109; 259; Ludność w potrzasku między obydwiema armiami może nie doczekać się zakończenia walk.; The people who are trapped between the two armies may not live to see the end of hostilities.
110; 263; Ale nie ma korzenia w sobie, lecz doczesny jest; a gdy przychodzi ucisk, albo prześladowanie dla słowa, wnet się gorszy.; yet hath he not root in himself, but endureth for a while; and when tribulation or persecution ariseth because of the word, straightway he stumbleth.
111; 264; Można się w nim doczytać absolutnie wszystkiego, czego sobie zażyczycie.; You can read absolutely anything you like into it.
112; 269; objętość infuzji (rozpuszczony preparat CANCIDAS dodany do 100 ml), stężenie końcowe; Reduced volume infusion (reconstituted CANCIDAS added to 100 ml) final concentration
113; 276; Nie może ona spaść na drugie miejsce w wyniku obecnych trudności gospodarczych.; It must not slip to number two as a result of the current economic difficulties.
114; 288; Po wygaśnięciu gwarancji produktu produkt osiąga koniec okresu eksploatacji (EOL).; After end of product warranty, the product reaches End of Life (EOL).
115; 289; Kilku moich kolegów konserwatystów z grupy EPP wyraziło w tej sprawie kilka uwag.; A couple of my Conservative EPP colleagues have made comments about this.
116; 290; Po pierwsze, EPS konsoliduje strategię opartą na partnerstwie i współpracy.; Firstly, the ENP consolidates a strategy based on partnership and cooperation.
117; 291; Wreszcie dysponujemy jasnym rozróżnieniem pomiędzy instrumentem poszerzającym Unię i ESP.; Now finally we have a clear distinction between the enlargement instrument and the ENP.
118; 292; Grecja nie jest jedynym krajem w EUW stojącym w obliczu poważnych problemów.; Greece is not the only country in EMU facing serious problems.
119; 295; Edward Albee „Die Ziege oder Wer ist Sylvia?“ („Koza albo Kim jest Sylwia?; Edward Albee “The Goat, or Who Is Sylvia?” 2004 Munich Volkstheater
120; 296; A pytanie brzmi: Czy w 2050 roku tak będą wyglądały miasta Edynburg, Londyn i Nowy Jork, czy może tak?; And the question is: Is that what Edinburgh and London and New York are going to look like in 2050, or is it going to be this?
121; 298; Via Emilia 21 IT- 27100 Pavia Włochy; Via Emilia 21 IT-27100 Pavia Italy
122; 299; Więc, ta kobieta to Emma, bloggerka naszego serwisu, TypePad.; So, this woman, her name was Emma, and she was a blogger on our service, TypePad.
123; 301; Piszę teraz nową książkę zatytułowaną "Epifania", opartą na serii wywiadów z ludźmi mówiącymi o tym, jak odkryli swój talent.; I'm doing a new book at the moment called "Epiphany," which is based on a series of interviews with people about how they discovered their talent.
124; 306; To Eryk Eldred, który drukuje nad Walden Pond prace Thoreau.; This is Eric Eldred making books at Walden Pond -- Thoreau's works.
125; 312; Naczynia krwionośne w naszych rękach niosą echo wodnych przepływów na Ziemi.; The blood veins in our hands echoed a course of water traces on the Earth.
126; 317; Kluczowe znaczenie ma skuteczna edukacja domowa i szkolna już od szkoły podstawowej.; Effective education in the home and in school from primary school up is paramount.
127; 318; Od dawna przekonuję, że edukacja przedszkolna i podstawowa jest niezwykle ważna dla rozwoju osobowego każdego dziecka.; I have long been an advocate of pre-school and primary education as essential for the personal development of every child.
128; 319; Navigation Path: Home &gt; The European Central Bank &gt; Dział edukacyjny &gt; Filmy; Navigation Path: Home &gt; The European Central Bank &gt; Educational &gt; Videos
129; 320; Po prostu kliknij najpierw rysunek, a następnie kliknij wyświetlony link Edycja.; Simply click first the drawing and then the Edit link that appears.
130; 321; Wszystkie edycje tabeli są dostępne w portalu Europa.; All editions of the scoreboard are available on the Europa website.
131; 322; Stwórzmy edytor tekstu, który jest tylko edytorem tekstu.; Let's create a word processor that's just a word processor.
132; 327; Sven, który jest obywatelem szwedzkim, wyjechał do Francji, aby eksplorować tamtejsze jaskinie.; Sven, a Swedish national, went to France to go spelunking.
133; 328; Tak więc w astronomii nastąpiła eksplozja nowych zasobów twórczych.; So here in astronomy, you have this vast explosion of new productive resources.
134; 329; W ostatnim pokoleniu naszego uprzemysłowionego świata widzimy eksplozję depresji klinicznej.; Clinical depression has exploded in the industrial world in the last generation.
135; 330; Więc oto eksponat numer 1.; So here's exhibit number one.
136; 332; Istnieje jednak możliwość przygotowania szczepionki, zawierającej wyselekcjonowany szczep wirusa grypy, na który nikt nie był dotychczas eksponowany, a więc nie doszło do immunizacji.; Instead, they can prepare a vaccine that contains a strain of flu virus specifically chosen because nobody has been exposed to it, and to which nobody is immune.
137; 333; Niektóre kraje posiadają znaczące rezerwy, których eksport nadal ograniczają.; Some countries have significant reserves which they continue to restrict to export.
138; 334; Europejscy eksporterzy nie powinni lekceważyć skali brazylijskiego rynku handlowego.; The scale of the Brazilian trade market for European exporters must not be underestimated.
139; 335; Ekspozycja na prolek wynosi poniżej 5 % w stosunku do aktywnego metabolitu.; Exposure to the pro-drug is less than 5 % relative to the active metabolite.
140; 338; Mamy więc ekspres do kawy, potrzeba tylko kilkuset rupii.; So this is a coffee machine. Just takes a few hundred rupees.
141; 339; Mamy więc ekspres do kawy, potrzeba tylko kilkuset rupii.; So this is a coffee machine. Just takes a few hundred rupees.
142; 340; Ekspresja receptora trombopoetyny zachodzi przeważnie na powierzchni komórek linii mieloidalnej.; The TPO receptor is predominantly expressed on the surface of cells of the myeloid lineage.
143; 341; Jedną z form sztuki przyciągającą uwagę agencji i przez to badaną, jest abstrakcyjny ekspresjonizm.; And one of the art forms that elicited the interest of the agency, and had thus come under question, is abstract expressionism.
144; 344; Większość donoszonych przypadków połączona była z wykonanymi zabiegami stomatologicznymi, jak ekstrakcja zęba.; The majority of reported cases have been associated with dental procedures such as tooth extraction.
145; 346; ekstrakt słodowy jęczmienia; barley malt extract
146; 348; Tym czerwonym krajom się nie udaje i potrzebna jest zmiana strategii, a nie upraszczająca ekstrapolacja.; These red are the countries that doesn't do it, and the policy has to be improved. ~~~ Not simplistic extrapolation.
147; 352; ~~~ „Statystyk-ekstrawertyk wpatruje się buty innej osoby.”; To which the answer is, "The extroverted statistician's the one who looks at the other person's shoes."
148; 355; Wiemy, że dziś tu i ówdzie modne jest bycie ekstremistą lub populistą, lub nawet powiewanie flagami ksenofobii.; We know that it is now fashionable in some quarters to be extremist or populist, or indeed sometimes to wave the flags of xenophobia.
149; 356; Niektórzy ekstremiści wykorzystywali słabość państwa, aby odrzucać mniejszości.; Some extremists were using the weakness of the State to reject minorities.
150; 361; To jest ten głębszy powód, dlaczego ojcowie Kościoła i sobory nadały mu nazwę "ekumeniczny”.; This is the deeper reason that the Church Fathers and the Councils have given it the name 'Ecumenical'.
151; 363; Starała się pani unikać poruszania tych kwestii i dała pani popis ekwilibrystyczny.; You have tried to sidestep the issue and you have done a balancing act.
152; 371; Jednym z rozwiązań w tym impasie mogłaby być emisja obligacji rządowych na szczeblu UE.; One solution out of this deadlock could be to issue government bonds at EU level.
153; 372; W Irlandii, emisja dwutlenku węgla na jednego mieszkańca wynosi 17,5 ton rocznie.; Ireland's per capita carbon emission is 17.5 tonnes per annum.
154; 374; emisja promieni gamma; gamma ray emission
155; 375; Musimy drastycznie ograniczyć emisję dwutlenku węgla i stać się gospodarką niskoemisyjną.; We must reduce our CO2 emissions dramatically. We must become a low-carbon economy.
156; 376; Prospekt emisyjny papierów wartościowych (uprawnienia wykonawcze Komisji) (głosowanie); Prospectus on securities (implementing powers conferred on the Commission) (vote)
157; 377; Itr (90Y) to emiter czystego promieniowania beta.; Yttrium (90Y) is a beta pure emitter.
158; 378; Jaki rodzaj promieniowania jest emitowany?; What type of radiation do they emit?
159; 380; Banknoty takie może emitować Europejski Bank Centralny i krajowe banki centralne.; The European Central Bank and the national central banks may issue such notes.
160; 382; ~~~ To może być tylko stan, nie zaś przelotna emocja.; There might be storms, but the depth of the ocean is still there, unchanged.
161; 384; Ofiarowujesz pieniądze w jakiejś sprawie i stajesz się emocjonalnie związany z tą sprawą.; You donate money to a cause, and you become emotionally involved in that cause.
162; 385; W przeciwnym przypadku skutek dzisiejszego głosowania będzie wyłącznie emocjonalny.; Otherwise, the effect of today's voting will be no more than emotional.
163; 386; Jego osiągnięcie nie było tak trudne, jak w przypadku samochodów osobowych, ponieważ to nie jest aż tak emocjonujący temat.; It was not as difficult to achieve as in the case of cars, because this is not such an emotional subject.
164; 389; Roboty z charakterem mogą zasiać ziarno, z którego powstaną roboty z rzeczywistą empatią.; Character robotics could plant the seed for robots that actually have empathy.
165; 392; Jest to fakt empiryczny, który można udowodnić.; That is an empirical fact and one which can be proven.
166; 394; Pewnie usprawniłabym stary dom na mniej energochłonny. ~~~ W tym wypadku wyjdziemy na zero 20 latach.; Now, I probably would have upgraded the old house to be more energy-efficient, and in that case, it would take me more about 20 years to break even.
167; 402; Pragnę podziękować pani poseł McGuinness za informację o głosowaniu w Irlandii.; I would like to thank Mrs McGuinness for the information about voting day in Ireland.
168; 403; Wszystko jest dozwolone, dopóki nierentowny sektor bananów na wyspach, takich jak Gujana Francuska, Azory i Wyspy Kanaryjskie, jest chroniony.; Everything is permitted as long as the unprofitable banana industry on islands such as French Guiana, the Azores and the Canary Islands is protected.
169; 405; W przypadku Ameryki Środkowej jako regionu, kraj, w którym sytuacja jest najpoważniejsza to Gwatemala.; In the case of Central America, as a region, the country where the issue is most critical is Guatemala.
170; 406; Gwiazda Polarna jest środkiem przyrządu.; So the North Star corresponds to the center of the device.
171; 408; Gwinea Konakry potrzebuje wsparcia społeczności międzynarodowej.; Mr President, Guinea-Conakry needs the support of the international community.
172; 409; Kiedy opuściłam gabinet zadzwonił do mnie i powiedział: "Myślę, że nadszedł czas.; And as I left his office, he called me back and he said, "I think it's time.
173; 412; gabinet odnowy biologicznej; wellness and rejuvenation retreat
174; 419; I wtedy gniazdko musi być dość sprytne, by to zrobić.; Shut me off now, before I start a fire." And the power outlet needs to be smart enough to do it.
175; 421; Gnuśność jest dominującą cechą postaci.; Inertia has heroic status here.
176; 424; Jeżeli lek nie będzie zużyty w tym 4- tygodniowym okresie, należy go wyrzucić.; If the product is not used during this four-week period, it should be discarded.
177; 426; Pochodzę z kraju, w którym godność ludzka stanowi pierwszy artykuł konstytucji.; I come from a country in which human dignity is the first article of the constitution.
178; 428; Jest to - i chciałbym to podkreślić - godny pochwały przejaw powściągliwości.; This is - and I should like to emphasise this - a commendable show of restraint.
179; 436; Ich łączna grubość jest 600 razy mniejsza niż szerokość kropki.; The total width of it is 600 times smaller than the width of a decimal place.
180; 441; gruchać jak dwa gołąbki; to bill and coo
181; 444; Obawiam się, że może to być kolejny przypadek uproszczenia, kryminalizacji i dalszego prześladowania grupy poprzez zwykłe stwierdzenie, że jest to grupa terrorystyczna.; I fear that it is another case of simplification, criminalisation and continued persecution of a group by simply arguing that it is a terrorist group.
182; 446; Unigene UK Limited, 191 Sparrows Herne, Bushey Heath, Hertfordshire WD23 1AJ, Wlk.; Unigene UK Limited, 191 Sparrows Herne, Bushey Heath, Hertfordshire WD23 1AJ, UK
183; 447; Latvija Wyeth- Lederle Pharma GmbH Tãlr.: + 43 1 89 1140 Fakss: + 43 1 89 114600; Latvija Wyeth-Lederle Pharma GmbH Tãlr.: + 43 1 89 1140 Fakss: + 43 1 89 114600
184; 448; Nie można wykluczyć teoretycznego ryzyka występujące rzadko nadwrażliwości na rHA.; A theoretical risk of hypersensitivity to rHA at a low frequency cannot be ruled out.
185; 452; habit nie czyni mnicha; you shouldn’t judge a book by its cover
186; 454; Ale tkwi w tym pewien haczyk.; But we have a problem.
187; 463; Interakcja pomiędzy diltiazemem a atazanawirem zachodzi przez hamowanie CYP3A4.; The mechanism of diltiazem/ atazanavir interaction is CYP3A4 inhibition.
188; 464; A co, jeśli mimo naszych wysiłków duże spółki nadal będą hamować te zmiany?; What if, despite all our efforts, the big companies keep applying the brakes?
189; 466; Popieram wiedząc, że jest to swego rodzaju hamulec ekonomiczny i będzie kosztował 60 miliardów euro rocznie.; I support it, even knowing that it is a major step for our economy and will cost EUR 60 billion per year.
